"model","mean_auc","sd_auc","mean_accuracy","sd_accuracy","species"
"LASSO",0.6297,0.0162,0.729,0.0032,"American Robin"
"Logistic Regression",0.6287,0.0162,0.7272,0.0032,"American Robin"
"Random Forest",0.6258,0.0148,0.6709,0.0225,"American Robin"
"XGBoost",0.6564,0.0128,0.7315,0.004,"American Robin"
"LASSO",0.8021,0.01,0.7941,0.008,"Steller's Jay"
"Logistic Regression",0.8019,0.0094,0.7931,0.0097,"Steller's Jay"
"Random Forest",0.7832,0.0121,0.7805,0.0071,"Steller's Jay"
"XGBoost",0.8177,0.011,0.797,0.0064,"Steller's Jay"
"LASSO",0.6,0.0176,0.7303,0.0068,"Red-tailed Hawk"
"Logistic Regression",0.6007,0.0181,0.7302,0.0065,"Red-tailed Hawk"
"Random Forest",0.6683,0.0158,0.7015,0.0187,"Red-tailed Hawk"
"XGBoost",0.7095,0.0116,0.7374,0.0067,"Red-tailed Hawk"
"LASSO",0.6504,0.0049,0.7824,0.0133,"Spotted Towhee"
"Logistic Regression",0.6501,0.0046,0.7818,0.0132,"Spotted Towhee"
"Random Forest",0.6691,0.0103,0.7484,0.0058,"Spotted Towhee"
"XGBoost",0.7067,0.0088,0.7792,0.0129,"Spotted Towhee"
"LASSO",0.7772,0.0167,0.7583,0.0106,"Western Meadowlark"
"Logistic Regression",0.7759,0.0158,0.7647,0.0102,"Western Meadowlark"
"Random Forest",0.8406,0.0045,0.8083,0.0116,"Western Meadowlark"
"XGBoost",0.8646,0.0089,0.8254,0.0041,"Western Meadowlark"
