"variable","importance","model","species"
"bio1_annual_mean_temp",33.0646504180144,"Random Forest","American Robin"
"bio10_mean_temp_warmest_quarter",33.8503208175669,"Random Forest","American Robin"
"bio11_mean_temp_coldest_quarter",34.6489741688463,"Random Forest","American Robin"
"bio12_annual_precip",37.8967160780996,"Random Forest","American Robin"
"bio13_precip_wettest_month",27.0914679030182,"Random Forest","American Robin"
"bio14_precip_driest_month",26.1016726782806,"Random Forest","American Robin"
"bio15_precip_seasonality",48.0876613352276,"Random Forest","American Robin"
"bio16_precip_wettest_quarter",27.2285773474967,"Random Forest","American Robin"
"bio17_precip_driest_quarter",34.6245407762601,"Random Forest","American Robin"
"bio18_precip_warmest_quarter",37.4860381309016,"Random Forest","American Robin"
"bio19_precip_coldest_quarter",29.7465385348263,"Random Forest","American Robin"
"bio2_mean_diurnal_range",39.9715203001454,"Random Forest","American Robin"
"bio3_isothermality",48.2845581480244,"Random Forest","American Robin"
"bio4_temp_seasonality",33.4224605405277,"Random Forest","American Robin"
"bio5_max_temp_warmest_month",35.2093643138397,"Random Forest","American Robin"
"bio6_min_temp_coldest_month",38.5780296186626,"Random Forest","American Robin"
"bio7_temp_annual_range",33.1990856604555,"Random Forest","American Robin"
"bio8_mean_temp_wettest_quarter",31.6243840895604,"Random Forest","American Robin"
"bio9_mean_temp_driest_quarter",28.417376429003,"Random Forest","American Robin"
"land_cover",70.8013290546626,"Random Forest","American Robin"
"land_cover",0.226612259987722,"XGBoost","American Robin"
"bio1_annual_mean_temp",0.0810951751311073,"XGBoost","American Robin"
"bio2_mean_diurnal_range",0.0706280827937867,"XGBoost","American Robin"
"bio11_mean_temp_coldest_quarter",0.0692317699491441,"XGBoost","American Robin"
"bio10_mean_temp_warmest_quarter",0.0682715049689178,"XGBoost","American Robin"
"bio17_precip_driest_quarter",0.0583630570022389,"XGBoost","American Robin"
"bio9_mean_temp_driest_quarter",0.0582026016634793,"XGBoost","American Robin"
"bio6_min_temp_coldest_month",0.046930120947495,"XGBoost","American Robin"
"bio3_isothermality",0.0455044361242122,"XGBoost","American Robin"
"bio18_precip_warmest_quarter",0.0404665819749574,"XGBoost","American Robin"
"bio12_annual_precip",0.0389666190043708,"XGBoost","American Robin"
"bio7_temp_annual_range",0.0374934131308276,"XGBoost","American Robin"
"bio5_max_temp_warmest_month",0.0372519691654859,"XGBoost","American Robin"
"bio14_precip_driest_month",0.0250295085086605,"XGBoost","American Robin"
"bio15_precip_seasonality",0.0233574431919427,"XGBoost","American Robin"
